,ST166Q02HA,ST166Q05HA,ST216Q01HA,ST216Q02HA,ST216Q03HA,FL167Q01HA,FL167Q02HA,FL167Q04HA,GRADE,MISCED,FISCED,BMMJ1,BFMJ2,BSMJ,literacy,sisced
76174,2.0,5.0,2.0,2.0,1.0,3.0,2.0,3.0,0.0,6.0,6.0,68.7,33.76,65.01,462.9710999999999,6.0
76178,6.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0,4.0,2.0,19.08,20.78,75.54,575.3959000000001,6.0
76182,6.0,6.0,3.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,1.0,14.21,15.35,86.72,543.9487999999999,6.0
76184,5.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,4.0,4.0,44.94,50.15,88.7,565.5437999999999,6.0
76190,6.0,6.0,2.0,3.0,4.0,1.0,1.0,3.0,-1.0,2.0,2.0,23.41,30.78,30.78,512.8584,2.0
76194,3.0,6.0,3.0,2.0,2.0,3.0,3.0,4.0,0.0,6.0,4.0,44.94,57.03,85.85,540.5245,6.0
76195,5.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,6.0,6.0,82.41,51.5,51.5,578.9326,6.0
76196,6.0,6.0,2.0,2.0,3.0,3.0,3.0,3.0,0.0,6.0,4.0,76.65,35.33,58.77,639.1566,5.0
76197,6.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,1.0,30.99,23.57,81.92,644.8700999999999,6.0
76198,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,4.0,4.0,39.02,30.34,63.03,525.6786,5.0
76199,6.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,31.08,30.78,50.9,563.8459,3.0
76200,6.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,32.5,20.78,72.83,568.4619,6.0
76201,5.0,5.0,1.0,1.0,2.0,1.0,1.0,4.0,-2.0,6.0,6.0,16.5,30.34,62.45,401.2688,1.0
76208,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,26.64,53.77,88.7,601.6175,6.0
76210,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,-1.0,2.0,4.0,16.38,32.5,70.1,467.00699999999995,2.0
76211,5.0,5.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0,6.0,4.0,75.54,70.34,81.92,623.8725,6.0
76213,5.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,-1.0,6.0,6.0,50.15,50.15,24.53,298.735,4.0
76214,6.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,-1.0,5.0,5.0,44.94,59.89,59.89,477.98850000000004,2.0
76215,3.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,-1.0,2.0,1.0,24.98,20.69,50.9,556.6463,6.0
76218,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,-2.0,4.0,4.0,14.21,25.95,86.72,334.8049,6.0
